"0","81","65","375.71","91"
"1","19","38","40.08","13"
"2","81","88","183.84","34"
"3","394","32","318.24","77"
"4","57","48","207.27","53"
"5","179","41","281.73","93"
"6","193","53","482.41","100"
"7","37","11","302.05","29"
"8","112","68","165.55","78"
"9","398","21","366.08","1"
"10","173","22","406.07","86"
"11","154","24","327.40","14"
"12","345","54","97.27","41"
"13","29","40","451.10","47"
"14","355","99","384.08","53"
"15","15","39","136.72","63"
"16","250","60","200.51","44"
"17","238","43","44.33","56"
"18","457","79","67.23","41"
"19","20","20","491.06","46"
"20","116","61","128.01","24"
"21","330","65","57.15","40"
"22","371","61","264.80","61"
"23","359","52","385.36","13"
"24","364","51","84.54","77"
"25","441","90","414.97","6"
"26","35","16","105.88","97"
"27","382","77","89.12","40"
"28","345","89","40.96","74"
"29","185","19","436.92","88"
"30","179","71","252.76","67"
"31","78","31","424.78","14"
"32","454","96","50.26","80"
"33","484","70","351.14","72"
"34","99","52","436.93","0"
"35","380","62","407.04","67"
"36","300","63","349.05","44"
"37","419","29","236.97","37"
"38","67","8","227.92","73"
"39","368","9","458.21","1"
"40","479","65","173.88","54"
"41","320","95","250.93","65"
"42","76","89","42.14","70"
"43","199","98","307.61","47"
"44","176","26","451.01","9"
"45","495","78","141.46","12"
"46","440","36","186.34","6"
"47","5","6","87.71","15"
"48","339","85","106.02","61"
"49","68","53","491.56","23"
"50","207","43","311.14","37"
"51","346","6","244.02","90"
"52","429","56","444.27","6"
"53","329","8","378.38","95"
"54","452","29","140.73","30"
"55","274","68","406.70","51"
"56","433","82","379.37","67"
"57","371","87","217.98","54"
"58","389","36","181.88","80"
"59","53","48","339.73","31"
"60","210","49","375.98","45"
"61","398","69","231.02","72"
"62","30","11","293.22","96"
"63","128","51","416.06","18"
"64","471","93","69.31","60"
"65","26","27","164.72","82"
"66","391","78","49.11","19"
"67","182","55","102.59","43"
"68","135","59","42.10","39"
"69","232","84","482.26","33"
"70","324","28","9.65","25"
"71","460","42","49.61","80"
"72","70","82","102.37","66"
"73","308","56","330.86","38"
"74","484","42","88.28","25"
"75","369","88","210.59","26"
"76","322","42","398.32","15"
"77","214","22","443.76","85"
"78","333","57","1.76","31"
"79","136","15","325.03","71"
"80","331","99","179.16","40"
"81","498","18","240.24","72"
"82","392","55","305.79","7"
"83","87","15","327.81","61"
"84","489","92","375.69","42"
"85","203","5","192.38","12"
"86","180","56","60.97","76"
"87","430","93","386.43","8"
"88","287","24","445.56","93"
"89","183","41","430.47","75"
"90","473","98","67.68","22"
"91","248","95","80.92","44"
"92","266","47","98.94","50"
"93","40","19","327.01","19"
"94","481","52","497.74","29"
"95","219","83","145.95","5"
"96","444","74","166.35","3"
"97","446","61","301.60","49"
"98","438","57","203.42","62"
"99","303","45","490.43","76"
"100","248","96","202.46","93"
"101","54","58","114.73","33"
"102","395","87","111.44","74"
"103","391","92","179.85","25"
"104","20","75","215.43","0"
"105","216","85","375.70","64"
"106","150","92","464.86","28"
"107","499","66","340.32","85"
"108","57","87","332.50","50"
"109","381","62","398.82","99"
"110","226","35","11.87","20"
"111","260","19","374.44","63"
"112","258","22","248.69","64"
"113","193","45","155.44","44"
"114","220","0","295.03","47"
"115","472","68","108.26","73"
"116","361","30","136.72","52"
"117","273","0","246.17","74"
"118","162","44","353.00","18"
"119","209","8","240.26","71"
"120","234","49","16.35","65"
"121","421","14","409.72","89"
"122","17","79","474.55","17"
"123","42","11","355.13","97"
"124","396","76","54.91","76"
"125","169","48","116.35","13"
"126","137","35","461.04","59"
"127","161","25","93.07","69"
"128","285","54","267.29","63"
"129","82","50","411.16","57"
"130","177","75","242.55","55"
