"15","309","17","1"
"7","231","10","1"
"27","1269","28","1"
"52","1092","6","1"
"95","1072","50","1"
"26","952","46","1"
"8","1309","2","1"
"21","692","17","1"
"74","1393","9","1"
"93","1105","10","1"
"72","1987","5","1"
"48","84","8","1"
"58","1531","14","1"
"70","1680","83","1"
"48","970","37","1"
"45","1827","45","1"
"15","473","12","1"
"23","1871","14","1"
"40","1234","1","1"
"22","502","33","1"
"69","216","60","1"
"57","869","1","1"
"4","659","37","1"
"59","1906","45","1"
"44","1355","43","1"
"14","471","15","1"
"24","1142","4","1"
"31","1975","2","1"
"54","798","34","1"
"41","1455","20","1"
"15","681","11","1"
"95","1490","23","1"
"88","1095","19","1"
"70","1524","44","1"
"0","770","1","1"
"22","1484","75","1"
"26","408","24","1"
"73","933","24","1"
"2","459","5","1"
"20","12","33","1"
"77","924","40","1"
"88","781","87","1"
"40","1774","26","1"
"12","1820","10","1"
"5","871","3","1"
"35","458","1","1"
"98","609","71","1"
"75","1459","82","1"
"93","1623","20","1"
"78","1734","7","1"
"9","1056","14","1"
"74","735","1","1"
"41","926","17","1"
"91","1049","5","1"
"87","1149","44","1"
"75","757","19","1"
"73","639","7","1"
"29","1219","3","1"
"53","590","10","1"
"42","1179","78","1"
"8","277","62","1"
"89","120","45","1"
"78","226","45","1"
"57","400","5","1"
"49","97","48","1"
"98","768","88","1"
"36","1828","51","1"
"17","1812","56","1"
"22","1588","6","1"
"48","1775","27","1"
"69","740","26","1"
"10","727","5","1"
"94","668","22","1"
"8","522","11","1"
"21","333","35","1"
"11","972","8","1"
"30","1563","26","1"
"38","882","21","1"
"74","1885","40","1"
"12","1758","9","1"
"31","850","12","1"
"60","1109","4","1"
"80","1331","12","1"
"91","259","28","1"
"57","1272","12","1"
"30","1549","22","1"
"62","1662","45","1"
"90","1732","41","1"
"40","1034","3","1"
"23","761","8","1"
"59","264","18","1"
"28","540","10","1"
"37","177","27","1"
"1","472","45","1"
"97","43","21","1"
"2","1623","17","1"
"50","455","40","1"
"2","160","12","1"
"46","1763","6","1"
"44","24","35","1"
"0","353","16","1"
"8","746","54","1"
"67","707","40","1"
"5","1573","34","1"
"76","1554","19","1"
"91","923","10","1"
"41","418","86","1"
"55","472","8","1"
"24","279","75","1"
"82","1723","7","1"
"53","1680","72","1"
"51","1798","1","1"
"85","1253","23","1"
"17","1967","13","1"
"7","1533","35","1"
"48","1084","9","1"
"12","835","31","1"
"5","1132","24","1"
"7","1128","30","1"
"22","250","5","1"
"50","453","9","1"
"86","1941","6","1"
"38","721","1","1"
"81","1095","10","1"
"18","1364","7","1"
"13","831","22","1"
"46","429","57","1"
"56","1970","41","1"
"99","14","43","1"
"86","1284","37","1"
"10","1380","56","1"
"70","846","12","1"
"15","379","2","1"
"6","681","56","1"
"43","1261","9","1"
"28","978","32","1"
"50","345","17","1"
"50","1310","27","1"
"72","664","32","1"
"24","1204","13","1"
"5","1518","50","1"
"94","1989","4","1"
"94","238","60","1"
"8","398","1","1"
"68","1330","53","1"
"55","1344","5","1"
"20","877","45","1"
"85","1503","35","1"
"43","1463","13","1"
"5","392","42","1"
"30","1626","18","1"
"42","875","70","1"
"54","100","89","1"
"53","1754","12","1"
"46","1580","9","1"
"26","1954","9","1"
"62","508","21","1"
"54","293","51","1"
"10","1100","14","1"
"58","1337","7","1"
"87","648","10","1"
"24","895","19","1"
"22","294","1","1"
"46","944","8","1"
"89","251","7","1"
"50","1827","47","1"
"28","1668","1","1"
"11","1127","61","1"
"43","229","36","1"
"91","1535","44","1"
"54","1548","21","1"
"29","726","53","1"
"63","958","14","1"
"28","667","48","1"
"94","594","25","1"
"97","204","30","1"
"70","760","12","1"
"35","233","12","1"
"35","414","5","1"
"96","1565","3","1"
"28","419","13","1"
"90","1372","23","1"
"77","1253","19","1"
"73","765","34","1"
"93","1533","23","1"
"11","412","38","1"
"94","782","14","1"
"73","81","2","1"
"79","339","24","1"
"86","1515","4","1"
"51","1954","25","1"
"85","1199","49","1"
"70","1833","49","1"
"46","146","9","1"
"35","844","36","1"
"87","619","8","1"
"76","1065","3","1"
"80","774","51","1"
"0","797","10","1"
"49","502","38","1"
"43","1789","16","1"
"78","485","6","1"
"6","876","26","1"
"16","242","29","1"
"63","1043","13","1"
"98","564","2","1"
"88","311","44","1"
"46","115","66","1"
"92","115","24","1"
"14","490","6","1"
"75","923","73","1"
"36","555","14","1"
"32","1923","4","1"
"60","1480","8","1"
"39","1528","18","1"
"66","635","12","1"
"61","776","20","1"
"66","286","14","1"
"36","0","6","1"
"16","518","52","1"
"51","1856","62","1"
"41","1894","40","1"
"37","886","26","1"
"16","1638","35","1"
"26","29","72","1"
"40","832","16","1"
"14","1679","3","1"
"17","1165","47","1"
"93","1150","10","1"
"93","395","5","1"
"36","861","2","1"
"29","975","2","1"
"36","24","55","1"
"35","518","1","1"
