"0","77","348","1973-10-04 05:38:56"
"1","82","1618","2006-11-17 17:48:16"
"2","89","452","1987-09-02 13:06:13"
"3","93","1935","2009-12-30 05:08:16"
"4","10","810","2004-11-19 07:50:30"
"5","77","1894","1974-09-12 02:15:25"
"6","97","1334","1998-11-07 06:14:01"
"7","45","1204","1984-03-31 22:28:43"
"8","77","1177","2023-04-28 13:58:49"
"9","64","1745","2019-01-23 21:27:51"
"10","33","497","2018-01-17 17:07:57"
"11","38","1006","1987-03-06 02:03:16"
"12","90","580","2012-02-05 04:58:53"
"13","6","371","1970-01-17 09:43:37"
"14","80","1022","2011-09-13 23:49:54"
"15","11","1831","1995-09-19 09:30:32"
"16","71","830","1981-09-01 07:55:02"
"17","29","1238","1972-01-17 16:28:11"
"18","51","222","2021-10-23 04:36:39"
"19","56","395","1993-03-22 21:57:26"
"20","75","16","2015-08-10 14:05:15"
"21","76","130","2013-03-01 07:36:46"
"22","58","616","1996-05-20 17:58:59"
"23","91","1188","2005-01-02 11:30:26"
"24","17","1741","2009-04-26 11:21:31"
"25","79","722","2011-01-25 03:15:38"
"26","81","1287","2006-09-23 18:59:42"
"27","80","1149","2007-06-02 09:33:47"
"28","30","642","2021-05-20 04:48:57"
"29","94","222","1994-03-03 07:21:02"
"30","12","734","2003-07-28 13:02:39"
"31","16","417","2002-04-03 02:25:57"
"32","50","872","1996-05-02 22:32:25"
"33","72","470","1977-04-04 22:47:44"
"34","84","1878","1993-09-08 00:12:06"
"35","50","1730","2014-12-04 22:22:57"
"36","3","1824","2007-06-07 21:53:05"
"37","9","469","2017-12-30 14:08:59"
"38","43","1924","1983-11-20 20:36:10"
"39","84","1997","1990-04-28 23:36:21"
"40","67","1376","2004-07-04 10:06:42"
"41","84","694","1977-04-12 02:59:03"
"42","58","636","2014-03-05 06:11:07"
"43","14","737","2014-01-08 14:16:22"
"44","1","276","2010-12-13 13:12:16"
"45","50","85","1997-03-01 08:52:40"
"46","33","1063","2023-04-24 15:36:56"
"47","49","1592","2023-03-10 13:52:52"
"48","21","1022","2009-10-13 14:44:21"
"49","75","13","2012-09-23 16:14:24"
"50","19","1634","1979-03-27 00:29:35"
"51","50","355","1977-01-13 19:31:30"
"52","55","1934","2018-03-16 13:58:47"
"53","25","1510","2013-03-06 23:57:57"
"54","96","179","1992-10-25 16:18:45"
"55","54","617","1992-01-08 08:58:35"
"56","33","1448","2023-10-29 13:02:20"
"57","68","1006","1970-04-26 22:34:40"
"58","98","1851","1970-06-04 13:20:48"
"59","45","1156","1975-07-24 08:19:15"
"60","75","214","2014-04-17 00:48:25"
"61","4","280","2013-03-15 06:05:19"
"62","21","642","1984-03-03 10:34:53"
"63","33","205","1990-02-16 19:17:31"
"64","92","677","2021-04-07 15:29:13"
"65","31","1000","1976-12-01 19:25:43"
"66","14","490","1977-11-09 22:23:40"
"67","47","397","1988-12-10 16:55:19"
"68","49","1342","1971-11-26 15:55:09"
"69","8","1399","1975-06-30 20:21:07"
"70","18","780","1973-08-20 17:21:29"
"71","57","1625","1972-09-09 15:26:09"
"72","2","1365","2023-12-25 14:55:12"
"73","13","1758","2020-12-07 12:29:39"
"74","45","642","1971-06-04 06:39:01"
"75","44","439","1974-12-31 16:20:17"
"76","51","955","1993-01-13 10:50:03"
"77","16","227","1997-04-16 19:56:31"
"78","76","1636","1986-03-05 08:06:58"
"79","2","1214","1975-07-14 01:20:10"
"80","33","1911","1970-09-26 11:19:31"
"81","15","1411","2022-03-20 17:59:06"
"82","45","813","1979-09-20 22:26:13"
"83","83","1444","2016-12-13 19:58:46"
"84","33","286","2010-01-18 01:03:31"
"85","51","700","2000-04-15 02:00:31"
"86","58","1493","1999-04-02 17:33:56"
"87","33","95","2000-10-15 00:35:13"
"88","44","128","1989-12-21 05:56:27"
"89","58","938","1977-03-02 18:40:07"
"90","70","1932","1972-11-01 14:44:26"
"91","14","1044","1993-11-03 15:25:35"
"92","81","1738","2007-12-22 20:08:20"
"93","45","598","2019-11-10 00:21:48"
"94","71","824","2006-02-22 11:48:53"
"95","48","615","1996-05-06 23:47:01"
"96","81","1754","2011-01-05 05:02:03"
"97","30","1001","2002-08-13 03:05:54"
"98","92","1793","1974-07-16 23:29:21"
"99","30","1194","2001-12-23 18:05:50"
"100","2","1598","2012-08-03 10:55:09"
"101","54","748","2017-03-10 16:28:59"
"102","36","706","2017-12-15 15:37:58"
"103","87","290","2013-09-02 18:06:21"
"104","82","462","1988-12-09 08:52:33"
"105","91","700","2020-12-06 20:11:26"
"106","97","345","1972-01-22 01:27:52"
"107","32","1253","1970-11-14 03:14:47"
"108","50","1353","2005-01-26 09:40:48"
"109","55","773","1974-03-21 15:42:26"
"110","36","747","2003-11-05 11:18:07"
"111","36","1112","1977-06-26 01:19:39"
"112","19","1041","1973-01-24 06:44:03"
"113","99","420","1976-07-23 11:39:47"
"114","58","1164","1971-02-23 06:09:21"
"115","85","1306","2021-08-21 03:21:24"
"116","87","465","2015-12-09 09:22:35"
"117","78","790","1992-09-06 12:45:22"
"118","74","1063","1978-07-06 01:22:30"
"119","97","580","2022-07-10 00:12:35"
"120","79","815","2008-10-23 07:43:59"
"121","21","1462","1973-06-06 16:42:50"
"122","44","1593","2016-08-28 04:52:58"
"123","97","1762","2012-09-30 07:30:02"
"124","92","1873","1994-03-02 05:04:13"
"125","35","1086","1980-05-24 05:59:55"
"126","90","335","1985-04-29 03:34:36"
"127","31","325","1971-08-24 01:37:32"
"128","76","453","1989-10-08 21:29:48"
"129","31","666","2003-07-27 17:42:45"
"130","95","1418","2018-07-08 11:47:04"
"131","94","162","1977-02-02 15:10:25"
"132","46","1374","2006-09-25 03:05:19"
"133","52","1231","1974-09-24 19:12:24"
"134","87","1281","2011-11-09 07:08:07"
"135","94","1924","2014-03-02 10:33:07"
"136","77","565","1973-11-27 04:07:23"
"137","83","1140","1987-07-13 08:31:57"
"138","77","182","2018-11-16 16:52:36"
"139","17","923","1973-09-12 13:05:28"
"140","24","1267","2006-03-25 14:49:01"
"141","66","1542","2012-06-19 23:52:52"
"142","62","1859","2021-09-25 05:22:51"
"143","13","1129","1987-11-13 03:01:14"
"144","1","1586","2002-04-19 14:17:55"
"145","83","638","1987-02-26 08:27:05"
"146","27","1786","2005-05-29 09:11:40"
"147","81","1842","2009-03-09 04:22:22"
"148","53","1233","2002-02-15 19:35:02"
"149","53","1898","2009-06-04 14:30:30"
"150","93","348","2006-07-27 09:44:41"
"151","27","214","1978-01-14 02:33:40"
"152","65","582","1992-11-15 03:41:15"
"153","49","1467","1990-07-28 23:59:36"
"154","65","920","2000-12-18 02:09:17"
"155","19","1490","2013-10-15 13:45:36"
"156","4","1219","2016-04-02 14:44:31"
"157","22","1095","2020-12-11 17:48:15"
"158","46","1945","2003-09-25 02:33:12"
"159","25","33","2000-09-15 06:27:13"
"160","6","763","2019-01-27 22:22:50"
"161","40","1882","2020-11-16 02:41:58"
"162","70","1239","1979-04-14 23:58:39"
"163","4","1027","1977-11-05 13:25:23"
"164","92","943","1985-02-01 09:37:09"
"165","64","1022","1996-05-11 13:19:30"
"166","20","1147","2003-07-09 09:16:16"
"167","34","1549","1976-04-09 04:05:07"
"168","5","975","1999-11-26 02:02:34"
"169","99","1934","2014-07-13 00:18:05"
"170","90","1960","2019-08-22 21:25:23"
"171","53","579","2018-07-13 17:50:07"
"172","37","1510","1980-02-15 14:19:08"
